upper,effects,lower,ate,ate_upper,ate_lower,z_values
6644.563383219322,3754.571444719177,864.5795062190323,8945.505493892462,11248.836577261063,6642.174410523861,30.0
6665.71715250703,3813.350888906558,960.9846253060864,8945.505493892462,11248.836577261063,6642.174410523861,31.0
7604.8419030439345,4713.327876043928,1821.813849043922,8945.505493892462,11248.836577261063,6642.174410523861,32.0
7794.713522427293,4989.610453892175,2184.507385357058,8945.505493892462,11248.836577261063,6642.174410523861,33.0
7816.1029021641625,4986.279367786023,2156.4558334078833,8945.505493892462,11248.836577261063,6642.174410523861,34.0
8471.923613354375,5798.385044781191,3124.8464762080075,8945.505493892462,11248.836577261063,6642.174410523861,35.0
9463.946069346497,6993.01212031045,4522.078171274403,8945.505493892462,11248.836577261063,6642.174410523861,36.0
10249.543862881277,7798.0583744799715,5346.572886078667,8945.505493892462,11248.836577261063,6642.174410523861,37.0
9499.811546623283,7002.953109544524,4506.094672465764,8945.505493892462,11248.836577261063,6642.174410523861,38.0
12059.881880089073,9753.48375299978,7447.085625910487,8945.505493892462,11248.836577261063,6642.174410523861,39.0
12191.757865472056,9995.295543861253,7798.8332222504505,8945.505493892462,11248.836577261063,6642.174410523861,40.0
12605.22444630105,10251.885341151265,7898.546236001479,8945.505493892462,11248.836577261063,6642.174410523861,41.0
12036.955333255413,9578.46676180137,7119.978190347327,8945.505493892462,11248.836577261063,6642.174410523861,42.0
12442.1160280692,10122.578940335963,7803.041852602726,8945.505493892462,11248.836577261063,6642.174410523861,43.0
13336.14947602052,11178.67501033609,9021.20054465166,8945.505493892462,11248.836577261063,6642.174410523861,44.0
13516.777606175214,11281.176674775692,9045.57574337617,8945.505493892462,11248.836577261063,6642.174410523861,45.0
14857.568721723372,12633.555566435505,10409.542411147639,8945.505493892462,11248.836577261063,6642.174410523861,46.0
14808.805916161122,12384.353944945926,9959.90197373073,8945.505493892462,11248.836577261063,6642.174410523861,47.0
14518.46944370068,12214.858538909257,9911.247634117834,8945.505493892462,11248.836577261063,6642.174410523861,48.0
14826.424234948568,12570.80350133888,10315.182767729191,8945.505493892462,11248.836577261063,6642.174410523861,49.0
14671.406982462628,12296.176881374071,9920.946780285514,8945.505493892462,11248.836577261063,6642.174410523861,50.0
