sal_6_lc1vs0_iate,emplx1_4
6051.087569260875,2.0
3188.0270365525084,2.0
1827.904080350465,1.0
-17381.645628536415,2.0
-8371.247620275928,1.0
-12521.679696084033,2.0
1436.7539807482954,1.0
-7563.259859603859,1.0
4426.744283714175,2.0
4197.543312816202,1.0
2291.8686581650527,1.0
-334.6403208692823,2.0
-9193.829262261133,2.0
3901.6728331919912,2.0
2290.6801996781796,2.0
3601.5426088475156,2.0
4889.968415061783,2.0
4776.317397319317,1.0
-11383.71273018909,1.0
5345.62554010157,1.0
-369.97094475804306,2.0
5014.716319193913,2.0
4244.829693499269,2.0
-13335.411666802125,2.0
568.2271462547942,1.0
2873.590565807859,2.0
3744.9667557556386,2.0
-17472.935686990473,1.0
-12522.449827529661,2.0
-9022.093225154546,2.0
1927.0611601503383,2.0
-9927.082041628993,2.0
-5262.839785365225,1.0
-2620.9276462018597,2.0
3004.2085255513157,1.0
-4252.394767611782,1.0
2549.3645043564466,2.0
4224.078236457488,2.0
6065.821833518336,1.0
-3822.3889386733063,2.0
2254.8412594924753,2.0
9083.390159588915,1.0
2730.101535667811,2.0
2522.8744711917234,1.0
-6675.619571720854,2.0
1516.7544096736465,2.0
3678.903851086543,2.0
1636.3531959820139,1.0
-17603.85478488695,2.0
6151.87160310871,2.0
3326.5239687697285,2.0
6994.551797317554,2.0
-515.1958000604723,2.0
8205.681604173918,2.0
3847.0158588221548,2.0
2880.5922872683877,1.0
2531.6388774215416,1.0
-7029.300356241163,1.0
3739.701345841524,2.0
-591.1920712217357,2.0
1107.8634911683366,2.0
7296.11659145723,2.0
-6189.807873404587,1.0
4663.133189528241,1.0
4786.0036016931235,2.0
1429.8211195725046,1.0
-5748.666451559569,2.0
5356.535101539685,2.0
4415.268886380888,2.0
8130.494540700656,2.0
-11122.954612065634,2.0
-4241.32823274867,1.0
3187.6495469135916,2.0
-4141.795261008748,1.0
-2621.6192655842515,2.0
4365.166947262894,1.0
8698.744827095044,2.0
-5334.406731151375,2.0
-260.98879897110237,2.0
6647.206036553052,2.0
2252.8275506670607,2.0
-4101.508913815704,2.0
381.1246878691418,2.0
-15154.125817164386,2.0
2419.2046412574864,2.0
-4060.245335046893,2.0
-11673.040708969167,1.0
-1629.8672975381996,2.0
-1567.2542411784934,2.0
6101.803355624065,1.0
-11966.965147023226,2.0
-5342.541155168379,2.0
-5384.303087546325,2.0
-16887.711353344515,1.0
3133.766407843599,2.0
6608.916453974502,2.0
5184.23756235321,1.0
5201.960509911591,2.0
4731.424824940088,2.0
8311.407197218276,2.0
1184.3384911089815,2.0
3874.185163512774,2.0
4057.609855541521,2.0
2583.186912423449,1.0
-10811.912931046485,1.0
2194.4280361850506,2.0
-17319.973881970353,2.0
-10457.892499847612,2.0
-11099.727726192054,2.0
2934.9449254423953,1.0
2749.865303762319,3.0
-2237.9403874696836,1.0
-347.9480546805571,1.0
7107.994844752227,1.0
3110.3455543789187,2.0
2603.479895160669,1.0
7436.239571151509,1.0
6564.155569498551,2.0
6167.853831993345,2.0
-12021.05380310725,2.0
-1870.6899822523237,1.0
-2780.2669820993287,3.0
1772.6201752707093,1.0
5532.955060905202,1.0
5508.133704405027,2.0
5105.895447702009,1.0
-1798.1393805027074,2.0
-10860.648817228164,2.0
8631.467352405492,1.0
-12806.660460614177,2.0
7102.061510764142,2.0
-265.4018194325309,1.0
-81.69848374507637,2.0
6044.402500225823,1.0
8074.139643442017,2.0
-3001.619525678674,2.0
-2048.592562107742,1.0
-11856.69872337363,1.0
5894.624914222184,2.0
-5.085651551933552,1.0
-6141.060980929527,2.0
-19272.82762040053,1.0
-6949.838128245801,2.0
-15612.859118918805,2.0
4285.848854504326,2.0
655.2716428863896,2.0
3760.341089993346,1.0
4283.214085279973,1.0
5619.547876892439,2.0
4552.384738735853,3.0
2353.21055868676,1.0
1401.1188103357126,2.0
3429.4298754468537,2.0
5129.626951739821,1.0
4676.573049475926,1.0
-6760.085734712085,1.0
-7171.203911545617,2.0
6594.532160655486,1.0
-4761.31161457036,2.0
6693.41661137468,1.0
-254.4837941148644,1.0
495.5428368256944,2.0
-9758.80268029229,2.0
1940.7128859374993,1.0
-14162.08267384527,2.0
6367.449454517566,2.0
3291.1190290802842,2.0
-5757.369121908703,3.0
-3475.69569781375,2.0
6311.398425408401,1.0
6795.1505592216245,2.0
5491.012459245303,1.0
-6928.13763947643,2.0
7810.342633992401,1.0
877.4470985485214,2.0
-6429.119834922724,1.0
-9365.66663674846,2.0
5029.762974652614,2.0
5896.67822315852,1.0
6401.75819590775,2.0
2834.6110936121095,2.0
-13687.77135615823,2.0
-29.59818950837689,2.0
-6778.158640793641,2.0
8863.11454047425,1.0
4839.255786143232,1.0
-2887.7353616743444,2.0
-8940.31305237614,2.0
8589.024873065448,2.0
1656.6777226826161,2.0
6728.047120705836,2.0
94.78579797124621,2.0
2386.330578021907,2.0
-7004.510680372059,2.0
785.3715208955318,2.0
1498.7144748796463,2.0
-5818.993089092364,2.0
-7680.057979637806,2.0
6515.122287181058,2.0
5597.341452402477,2.0
406.523598469189,1.0
3196.4270519354704,1.0
2595.9471997664737,3.0
1057.8380791792843,2.0
4054.247875921702,1.0
-645.063489994036,1.0
-7873.5260837820915,1.0
551.0605804383786,1.0
-2790.689530295995,2.0
-7031.364589723011,1.0
2518.725700813268,2.0
4417.880856133491,1.0
-8826.870779730933,2.0
-5009.580988110805,2.0
-11977.363180559787,2.0
-1264.690465707794,2.0
-3467.322702921422,1.0
-7342.635775944927,1.0
6486.369073481899,2.0
3498.204236639523,2.0
-5975.9600307796045,2.0
-5012.923673357878,1.0
-8608.928323084592,1.0
-3970.316018206102,3.0
5948.758970589821,2.0
7312.58647248253,2.0
2750.8131026001447,1.0
-7558.283906616567,1.0
5331.987208216999,3.0
-4873.085886007544,2.0
1118.3686800231844,2.0
5002.5532354993775,2.0
4110.893435616563,1.0
6287.913041877805,2.0
5290.32702174947,2.0
-2619.0807302707635,2.0
-1301.916589727749,2.0
-5470.043962279926,1.0
-11510.69709038786,2.0
3923.91411798804,2.0
1255.5034912666033,2.0
-255.44032613397758,1.0
-6051.129131763202,2.0
6538.715053926697,1.0
2500.7391414014965,1.0
4796.65436773506,2.0
2271.3695070416397,1.0
-11836.21171722266,2.0
7317.241531493524,2.0
8249.458466440261,1.0
1323.4123188068934,2.0
-1320.3183532156318,2.0
-2414.7650064789073,2.0
-4859.752148877757,2.0
6012.912860423781,1.0
-1386.153505382441,1.0
-8142.0591666110095,2.0
2173.723509692408,1.0
6266.2985266449305,2.0
-60.693412875603826,2.0
2229.51782663063,2.0
2132.1106457741785,2.0
225.62857246078875,2.0
4292.663784078367,2.0
4809.8116596653745,2.0
-4686.818580937017,1.0
-4767.769549657334,1.0
-93.29199271321886,2.0
3881.401649423483,1.0
6574.8643681619305,3.0
-12726.675572867574,2.0
-1150.9658665795287,2.0
7416.936810716754,1.0
-16300.270443165591,2.0
-10837.243808159445,2.0
5472.868123675223,3.0
-11086.679096956752,2.0
4533.008514842059,1.0
1513.3965901129786,1.0
-12165.66565072078,2.0
-542.3291909773745,2.0
4948.315513417299,2.0
3974.275622901925,1.0
906.9370557884045,3.0
4809.618029596793,1.0
4913.611039933359,1.0
-1868.0088020094574,1.0
4636.444374560891,1.0
5901.003302156834,1.0
2717.0737749782847,2.0
3506.6215050094343,1.0
-14392.034629810141,2.0
-14822.503666458686,2.0
-1026.737459321388,1.0
6279.524190894743,2.0
-5556.408577409027,1.0
879.0610233733414,2.0
-3872.400107989064,2.0
640.2709685383543,3.0
3138.273427245077,1.0
5146.50914542532,1.0
1240.5413224227323,2.0
6281.77619891617,2.0
-953.5787761480933,1.0
4714.719473976995,1.0
5128.238617109216,1.0
-919.6163791698909,1.0
5471.249702896035,2.0
5447.42932708901,1.0
4457.082651155048,2.0
1186.4600832370343,1.0
239.3548297902853,1.0
3832.4889752032486,1.0
-10702.456989492799,2.0
3057.45781215244,2.0
-8107.553889193927,2.0
5230.0944452472395,2.0
6607.802205497799,2.0
-12395.777558060463,2.0
-7711.451439684864,2.0
-7981.761950095741,2.0
5408.740923463838,1.0
7079.6624995279035,2.0
6278.475096123351,2.0
-4985.033361218528,2.0
6653.937145226329,1.0
2422.6198544552726,2.0
5413.24273164718,1.0
-508.5746743302352,2.0
5499.669535821249,1.0
2719.020378553918,2.0
4284.645657374933,2.0
3986.420718535147,1.0
5161.472367259864,2.0
5204.33078452086,2.0
73.58923825009742,2.0
2204.1865385332494,2.0
-10009.087735285299,2.0
3603.918242131831,2.0
-18739.09049143482,1.0
-13039.834529479322,1.0
-4635.044003152556,1.0
-5934.636959188969,2.0
1431.3492552961209,2.0
7348.178633036885,2.0
3494.221950367484,1.0
2835.0541316900217,3.0
2371.939593033255,1.0
-3527.566647230562,2.0
2330.7164521952886,2.0
-7721.73902330481,2.0
-6585.14003228815,2.0
2727.328697257253,2.0
3841.528233514394,2.0
5584.462138092358,3.0
-7211.8774491239255,1.0
-1673.5242403190528,1.0
-8669.992191252564,2.0
5829.393861219611,2.0
1972.0316076007712,1.0
6396.301967899672,1.0
4993.7227640469055,2.0
-5116.076843919185,2.0
3925.654093240428,2.0
2000.8590013946514,1.0
1324.2322623454547,2.0
-11330.31810413125,2.0
-3062.7536335552622,1.0
7281.474466977703,2.0
4981.091287170277,2.0
-7086.501429453413,2.0
5641.89394804955,2.0
4854.634441738592,1.0
6148.577882031046,1.0
4148.309513043773,2.0
2540.148934696218,1.0
4052.3693031123526,2.0
168.52646793537815,2.0
5021.119740126971,2.0
5346.2529454599935,2.0
-11231.208931948242,2.0
3719.0165601069475,1.0
2920.914665853559,1.0
6198.978295782332,1.0
-3777.7518095579853,2.0
2938.551501303198,2.0
-1223.516555055423,2.0
5200.383002121676,2.0
1135.2561475470106,1.0
4554.258448442868,2.0
-15452.740302185432,1.0
-7646.441925488675,2.0
2006.3400823815937,1.0
5245.394986434485,2.0
5868.295945575197,2.0
2478.2198247116066,2.0
7388.707439450758,2.0
-1830.7679817494463,2.0
-3456.445752087593,1.0
9222.820591107684,1.0
-10260.026825363246,2.0
-19287.258026808893,2.0
-6901.347693267999,1.0
1228.2065401551954,2.0
4649.415305538376,2.0
-4690.124412946055,1.0
-2827.063313098307,2.0
-8623.517746615038,1.0
-35.86331854203854,2.0
-346.1879177958431,2.0
-12127.202463110001,2.0
-8604.540707796927,2.0
-1028.113662227057,2.0
3489.8695352419254,2.0
5494.995630444231,1.0
8249.241414816044,2.0
2031.8429851427081,1.0
1558.8812804552535,2.0
-9061.989607683,2.0
-15028.620962509383,1.0
-12168.251997816977,2.0
-2254.8881638943217,2.0
346.55667629854906,2.0
3651.840460771229,2.0
-6034.879144984334,2.0
1602.0286353460092,2.0
-5012.87694036838,1.0
-6733.97503611792,3.0
5323.7008925783175,3.0
-850.9913391618775,2.0
-5286.285730510139,2.0
8632.877980120742,2.0
-3737.071144869271,1.0
6695.380486779501,2.0
-352.6310592328264,2.0
4661.425314710596,2.0
-13850.475212646583,2.0
-15457.699218309994,2.0
-1838.7660297414277,3.0
-8829.249398373082,1.0
2443.6891947758772,2.0
7300.404028119479,2.0
5659.095720734687,1.0
-16023.229358734876,1.0
-7190.352222650035,2.0
-12365.928779815133,2.0
706.316131435527,1.0
1878.2590654862834,1.0
-1957.8450487881892,1.0
-7919.109744355177,1.0
-861.8227319913785,1.0
3629.8550782815355,2.0
-2876.7612393192576,2.0
-237.0947092549759,1.0
-13455.68279695055,2.0
-9382.771209533774,2.0
-8343.291373809378,2.0
765.0931751019484,2.0
-3497.0206295159674,2.0
2435.700716536867,2.0
-14155.641703108295,1.0
-3769.5399258417715,1.0
7034.62715660092,2.0
2388.8659181112525,1.0
4714.213906326428,2.0
-9564.07246895262,2.0
-11383.469203730558,2.0
-3153.4649352077868,2.0
4172.753384741136,1.0
1131.7528011780796,2.0
6729.905437433743,2.0
2677.6068327256335,1.0
2280.165708987148,2.0
-17994.82037654226,2.0
4677.534176063615,2.0
-1412.8403695340985,1.0
2860.8642855648104,2.0
-674.5754466178166,2.0
-9668.214397203716,2.0
-1460.8343466202914,1.0
-643.2076347287602,1.0
1469.6232811421032,1.0
3500.134595416966,1.0
-5973.342100245756,2.0
5668.842187860726,2.0
-2027.4500350145065,2.0
-5898.503075979708,2.0
8325.76757608532,1.0
4674.492116247734,2.0
1726.0589188281156,1.0
-6552.9102433957205,2.0
-5674.311269624537,2.0
-7362.2793373850545,1.0
3385.0421492603036,1.0
-16808.911412321126,1.0
919.8685752890106,2.0
1692.5844354015426,1.0
7594.544536461111,2.0
3384.635460585674,1.0
-7305.778988677253,2.0
6904.679433606223,1.0
-4089.709405301037,1.0
5270.881846412733,2.0
-3888.8356013246485,2.0
3552.301850156662,1.0
2038.6857360964204,1.0
-16033.201146622538,1.0
-16090.845661305548,1.0
-1327.1630736826862,1.0
-4022.472855087387,1.0
5572.175248779553,1.0
-1223.5240567815672,2.0
6087.5347144855,2.0
5235.88247446678,2.0
6349.457350946388,1.0
-9267.800985433718,1.0
6524.638583490417,2.0
-1637.8940457891076,2.0
-6698.177727999682,2.0
-3023.8488181718712,2.0
5329.641646081276,2.0
2087.0272992801983,2.0
-5638.540125661009,2.0
-8100.480005804253,2.0
4211.0339289152835,2.0
-4692.332505281596,1.0
-1504.7019381955142,1.0
-4686.000358606376,2.0
4116.644558823782,1.0
6671.716365383958,1.0
1165.686249607672,1.0
741.8777829227311,1.0
8138.762086732473,1.0
-15443.549661058405,2.0
6002.346232884425,1.0
1774.0995419542742,2.0
9047.304882812374,3.0
-15593.87123335906,1.0
-12742.471596006582,2.0
-11023.263641944155,2.0
-9092.830992407082,1.0
2106.2116897904043,1.0
2155.841281456409,1.0
7400.92804754996,2.0
245.325285720377,3.0
1238.545038269635,2.0
-11692.904529475913,2.0
6168.823550722706,2.0
4446.626031233274,1.0
1102.0152980956846,1.0
2336.002186636908,2.0
2126.870482073472,1.0
387.1320899600387,2.0
3301.0769658598147,2.0
-91.02298454568063,2.0
5345.8158401074525,1.0
4757.1171536536485,1.0
-7173.427994555512,2.0
2099.3349224817084,3.0
-3506.8918474330967,2.0
-595.5480541441975,2.0
7028.851378322877,3.0
-2976.031186415061,2.0
-840.1059041646349,2.0
3055.365112923926,1.0
4647.659056680801,3.0
2386.759627393836,2.0
-3975.9391170307586,2.0
4683.365997330577,2.0
2319.2538372879426,2.0
-6976.848862134448,1.0
5304.7625523287315,3.0
7211.40228080829,2.0
4812.452073661261,2.0
5663.98929141819,3.0
3808.514365148478,1.0
1768.3578711678456,1.0
1149.0797680107898,2.0
5017.088949149691,2.0
1920.9849267097145,1.0
-3249.6772659993585,2.0
1370.510606626931,1.0
8244.835514276074,1.0
4236.78515388149,2.0
84.2526656751188,3.0
2278.664648814758,2.0
2003.1437729901318,1.0
3853.9747546125127,2.0
-6927.103909608322,1.0
-17121.73834604462,1.0
-8268.015236611227,1.0
-6962.561993011053,2.0
-5976.385120238929,2.0
947.4781110252052,1.0
-11055.59090497112,1.0
-6107.264899724752,2.0
2407.433440752464,2.0
-11319.853189545167,2.0
6318.527514355494,2.0
-9496.071158318078,1.0
-12939.169456126825,2.0
1741.2127542552098,2.0
2546.9649987093394,2.0
5091.535712264021,1.0
7080.914973436264,1.0
3941.5185977402225,2.0
4427.515627132583,3.0
3900.2622986168635,2.0
-5383.046755949004,1.0
-517.0276340892287,1.0
5272.632551548663,2.0
-9836.494354634639,1.0
5538.282832718163,2.0
840.0943072297996,2.0
-12196.685567081957,1.0
-1704.5984657306753,2.0
2991.5899350695527,2.0
2598.052679845521,2.0
-174.60589105809504,2.0
-6900.573303540887,2.0
1875.3231526921863,2.0
-1718.1561651947595,1.0
-14137.553748866158,2.0
-5409.385920996106,2.0
4037.7996748697688,1.0
5894.396632771801,1.0
4140.2143794876165,3.0
-4879.547044901369,2.0
-4534.199076810895,1.0
-99.72188952012038,1.0
3442.273140815905,2.0
3318.1829291341455,1.0
-12999.913281064739,2.0
4929.473355445622,2.0
7220.351783989154,2.0
-3914.779940039414,2.0
4034.120677917662,2.0
-14890.211012878124,2.0
7146.063977700276,1.0
-7669.687055675702,2.0
4527.875716522238,1.0
5000.348931957793,1.0
2402.3970667376143,2.0
6218.030051322767,1.0
-4930.997510900172,2.0
-6347.790382993151,2.0
3968.5658774883896,1.0
7382.949236490087,1.0
8310.198490723698,1.0
1290.5123496951528,2.0
5285.736852835074,1.0
-12430.82856818286,2.0
-5408.1788488301945,1.0
-2076.665562240745,2.0
3305.8442731773885,2.0
-1443.0342909732794,2.0
1417.9526673900837,2.0
-3374.9274379858903,1.0
5448.9765479681955,2.0
2038.8262125873416,2.0
4139.1925547836,2.0
-7864.304795008051,1.0
-10442.475263250675,1.0
6888.287316599259,2.0
-14896.234540173773,2.0
7062.583879130556,1.0
2115.372304347202,1.0
5858.343188575993,2.0
2421.2077475280207,1.0
6497.77603474084,1.0
2801.6811190734406,1.0
-6889.520662892003,1.0
-2849.890497307975,2.0
-15431.908290230765,2.0
58.45264368552307,3.0
2910.58639597832,2.0
-15211.018074775602,1.0
-540.4157337523408,2.0
4136.587747261238,2.0
1301.5954316508182,2.0
338.9574458851148,1.0
-9749.17191279801,2.0
5117.613524138207,2.0
-5069.939370231405,2.0
5196.011909681449,2.0
8242.681878988518,1.0
3742.958721022849,1.0
-14826.22727857069,2.0
1117.7810550743743,1.0
-309.4389278746321,2.0
-2813.50614082042,2.0
2173.7647878166517,2.0
-3615.7996087776028,2.0
6161.509546046793,2.0
-7883.921403588362,2.0
1017.3794265279885,1.0
-12084.497549658397,1.0
5898.617213347214,2.0
-5960.572371420309,1.0
6709.463398900816,2.0
-1455.7717878399556,2.0
1949.1251665579007,2.0
6042.146112197426,2.0
6277.82767855987,2.0
4371.198590083884,1.0
-5663.573863703214,2.0
-17284.399661115796,1.0
6355.045281305989,2.0
2258.946881157832,2.0
-2972.5841932377734,2.0
-6802.502125970752,1.0
-1349.2897187064925,2.0
4770.560849201729,1.0
2891.0999136846767,2.0
3770.0168292173294,3.0
3160.4485989914756,2.0
-12283.840644072945,2.0
-10867.018370127826,2.0
4933.649702646785,1.0
-451.9841196105681,2.0
8946.567257554856,2.0
-792.0162807776396,2.0
1917.1499579011124,2.0
1478.743625484697,2.0
7257.539538124745,1.0
-1073.342206596436,1.0
6723.662451906122,1.0
4808.992856868757,2.0
3407.1694751012765,2.0
6817.4706936854,2.0
1567.4097063769677,2.0
-2656.2540566549105,2.0
-12849.525197342879,2.0
3558.8471092494783,2.0
4622.1470322153655,2.0
3761.552594827881,2.0
1114.2722725239564,1.0
-3768.729865479418,2.0
-11282.758123972295,1.0
4675.444229629824,1.0
-1012.8765425518613,1.0
2800.536704594772,2.0
5563.242735829199,2.0
-16757.55489996515,2.0
-10505.027520689371,1.0
-9804.84797741504,2.0
-4938.584239974387,3.0
4205.275435298992,3.0
-515.5503860593944,2.0
7686.952114944514,3.0
-8444.121647719647,1.0
-7396.423230545766,2.0
-3329.853208392725,2.0
3464.757707445804,1.0
-13527.042093313587,1.0
-11516.88633601498,2.0
4255.216768107668,1.0
-14633.420192679396,1.0
-14946.53108822431,2.0
-13028.385610704343,2.0
4972.500853079015,1.0
-6928.585904705882,1.0
-11528.46582145192,1.0
6427.682989535668,2.0
-1836.046684209241,2.0
-13313.18469547988,2.0
1034.677585623419,2.0
683.9624456181513,2.0
-1821.8141550634746,1.0
1219.9938485951802,1.0
3790.0565074381393,2.0
3526.118483437539,1.0
-6257.585682910758,1.0
-1414.9337573766497,2.0
4201.761811502309,2.0
7592.701827420011,2.0
-417.1329481763928,1.0
-4732.625335964494,1.0
-743.380603302101,2.0
-13880.160828709719,2.0
8295.988298265613,3.0
-10511.018093726703,1.0
-10120.631469973227,2.0
4985.950534285623,2.0
5072.34584557513,2.0
-2374.719120579026,2.0
2638.955686470019,1.0
8369.16430934433,2.0
-4333.051366444037,2.0
3287.131968712062,1.0
-5517.399955656048,1.0
8303.956526611004,2.0
-4302.198099964522,2.0
1200.0886865424127,2.0
3312.3384326682717,1.0
3351.3948323324685,1.0
4401.277834727693,2.0
3044.7121134635263,1.0
-784.0580084367975,1.0
-12139.872744690168,2.0
-3764.387405184996,1.0
-19000.66494691724,2.0
-2605.378061659979,1.0
-9716.873489791724,1.0
-10466.140572759961,2.0
3221.300362003743,2.0
2037.9101787028844,1.0
5699.959107777766,1.0
4714.474719191425,2.0
-92.10472339948319,2.0
3953.9453552930077,1.0
-325.89179332132517,1.0
-615.4204865668253,1.0
6644.305994526541,1.0
-7358.801548594218,1.0
-2466.8781242898876,1.0
7672.986802991993,2.0
-14869.08502430176,1.0
2603.663740486243,2.0
-10862.04757009113,2.0
732.5508432344468,1.0
-1009.7486332651551,2.0
3721.2163475306006,2.0
-677.4944931758328,2.0
-18751.12744788509,1.0
3656.1241204346643,1.0
2273.7046837444477,2.0
1930.3888610164176,2.0
5827.820992722769,2.0
5088.752341865278,2.0
7447.27092299847,1.0
-6730.239086324447,2.0
2263.427870084135,2.0
981.7101688295361,2.0
-6730.846698249107,2.0
-7030.082322693146,2.0
4614.034612419471,1.0
-3824.020193396269,2.0
3561.0951292348254,1.0
5398.410370471898,2.0
3499.8637144832355,1.0
5592.849378921168,2.0
-18661.610190838997,1.0
3979.1411168892996,2.0
-4150.567589298743,2.0
-1237.8828989673093,2.0
2996.8386025342934,2.0
4065.687265731298,2.0
4684.472654779676,1.0
2556.120216094925,1.0
-5862.526588909844,2.0
-416.42565869171085,1.0
-15641.313364602236,1.0
3199.3459550282514,1.0
-13086.332620495356,1.0
-1.2071449654995376,2.0
-304.86974939956684,1.0
2257.2364218620314,2.0
-2986.1686002233782,3.0
5684.770267198182,2.0
-12795.280967336497,2.0
4983.479637655901,2.0
2253.7327290431417,2.0
6616.025572702736,2.0
5716.089691360867,1.0
5602.768116483721,2.0
612.3701160714609,2.0
-7688.652407066253,3.0
534.9502184736418,2.0
3833.155712520421,2.0
5026.563704310873,1.0
3936.193207895347,1.0
7576.161106158743,2.0
-15500.639798617602,2.0
4922.39424176467,1.0
-19569.42917267685,2.0
2132.6129889280382,3.0
-2633.133951916141,1.0
1849.9105639270838,2.0
6730.692224665674,1.0
5098.600585823054,2.0
4867.225256657852,1.0
-8110.807576596959,1.0
-9624.781804824219,1.0
709.0158498323744,1.0
-3792.1144099948033,1.0
15.464315350132892,1.0
-1536.7032482134273,2.0
5568.153729542904,2.0
7594.293795733971,2.0
3756.3446919522944,2.0
2012.6002055615572,2.0
-11164.586773650833,1.0
2614.7041983493673,2.0
-3530.9220914385564,2.0
-5230.127962586166,2.0
388.21131801678894,2.0
5577.106214307737,3.0
8592.298825916761,3.0
5277.871338581343,3.0
-318.4735206615603,2.0
-11398.419595293186,1.0
-16786.49031943993,1.0
6939.524194423364,2.0
5629.105019694142,2.0
-188.64898915062986,2.0
-4324.668087535758,2.0
-8634.23308749114,2.0
4494.262135734796,2.0
1276.9361639984945,2.0
4872.085176117218,2.0
-1472.441087670999,1.0
5324.114738973858,2.0
4582.740434242864,1.0
1166.400168896414,2.0
5180.07026210221,3.0
183.33687413009102,2.0
-2602.7225028065427,1.0
-2484.2774910216103,2.0
-7723.556096492478,1.0
-2480.706155671025,2.0
1441.2197522650486,2.0
2181.555437302913,1.0
5391.223131224902,2.0
-3313.54967646739,2.0
-10549.324822505607,1.0
2252.1140538462414,2.0
3646.5079619184876,1.0
5116.635152038883,2.0
-1530.6121734199141,2.0
-6764.151870218338,2.0
5724.774138853711,2.0
1477.416655819674,1.0
-5083.1181602364995,2.0
-4168.247835993724,1.0
-4062.4807127113672,1.0
1714.685775979702,2.0
-13631.745789074284,1.0
-1593.3301816571593,2.0
-4466.563465454279,1.0
4639.777706862276,2.0
-8676.593914456567,2.0
-9616.616090207443,2.0
-919.4815564282824,2.0
6402.012235303914,2.0
-15085.665668988797,1.0
-14953.342653317142,1.0
-7813.061275337917,2.0
-2404.6655341485666,2.0
1869.759253563223,2.0
4470.743066212999,1.0
-796.6206652593446,2.0
-5296.877258129916,2.0
2667.4718411836984,2.0
-31.225966238360115,2.0
2258.177959048825,2.0
-4181.066909623023,2.0
-8212.499068325016,2.0
-841.7322033794333,2.0
5378.405111968748,2.0
2609.425980774018,2.0
3289.5663642027394,3.0
3858.484737857354,2.0
3088.796772309657,2.0
3056.3367234769794,2.0
5802.548609749083,2.0
-1338.9291392918472,1.0
-7904.078376386275,2.0
2714.6487000758425,1.0
2250.721688345865,1.0
-335.1063630256658,2.0
-4022.7354380185734,2.0
-8386.93667969729,2.0
5437.061535141793,1.0
1193.6921570715176,2.0
2300.849315491805,1.0
6747.219235992421,1.0
-5792.132070810432,2.0
-3076.9934062184,1.0
-1135.246593921823,2.0
-9967.83224542838,2.0
