empl_ttl_lc1vs0_iate,voc_deg
-4.94805426166886,0.0
-4.578111859088715,0.0
-3.230183773696281,1.0
1.3276327758599846,1.0
-5.504426802571932,0.0
0.19740218502416762,0.0
-3.7681734953965305,1.0
-4.058591155271899,1.0
-0.612743072735806,1.0
-1.3866245580209615,1.0
5.684290253260674,1.0
-3.9245604592515027,1.0
-4.249977880810943,1.0
-2.7508514322438367,1.0
-5.343410681848838,1.0
-5.859476615922035,1.0
-3.5603169489435893,1.0
3.9605823782354577,0.0
-0.2781985129849933,0.0
1.2274432011773229,1.0
3.8812397465118122,1.0
-3.3427260873530398,1.0
4.9152560967964956,1.0
-4.71026634939384,1.0
-4.215989504466777,1.0
-5.861797327600664,1.0
3.195668435079152,1.0
5.222338304708721,0.0
-2.9020687387710535,1.0
4.280266659497552,1.0
-3.7225476618861912,1.0
-3.486853278044228,1.0
-1.3057265460516698,1.0
-3.2785683578171336,1.0
-3.342427794012711,1.0
1.3763720464244351,1.0
-4.010554469233904,1.0
-2.6537893485242208,0.0
4.728494152405938,1.0
-2.9711600162350447,1.0
-5.293375960119727,0.0
-5.378046175097144,1.0
-2.9478466195738484,1.0
-2.616589569519482,1.0
-1.1791202450774634,0.0
-4.311464470350409,0.0
-0.12053856032070254,1.0
-5.553943871730289,0.0
-2.5097217097954987,1.0
-2.955066446938946,1.0
-3.1294046369614796,0.0
1.1985676546152861,1.0
1.9355864102435405,0.0
-4.196079625440849,1.0
6.449172312966962,1.0
-3.0829091482839517,1.0
4.891619174263027,1.0
-4.391780743250741,1.0
-3.4463184400290006,1.0
-4.47581358746775,0.0
1.3776060924220008,1.0
-1.913303056766548,1.0
-6.274316227690828,1.0
-4.837873860188848,0.0
3.386321604051256,1.0
-3.489929017616989,1.0
1.63337041131164,0.0
-1.4524888182921774,1.0
-3.4897655460277974,1.0
-3.8998745555076644,1.0
5.436816063188527,0.0
3.7496934542546665,1.0
-4.248230258791732,0.0
0.3138072392002005,1.0
-4.149337294975304,1.0
-2.4455956673903776,1.0
-3.5938970168129813,1.0
0.12389493903963,1.0
1.0171740108050566,0.0
6.390183591814025,1.0
-3.450569901201286,1.0
-3.8400120684612906,1.0
-4.406178341738958,1.0
-2.9490994516832165,1.0
-1.9759975006251942,1.0
-3.1223764769021933,1.0
-3.9963374702913477,1.0
1.3313914137511298,1.0
5.8144092617826555,0.0
-0.6622089022793183,1.0
3.849187277029741,1.0
0.09658460201370977,0.0
-4.6117175715266345,1.0
-4.449272870511718,1.0
-2.736970506720067,1.0
7.193584233035986,1.0
-3.8302579895709554,1.0
3.20544308579557,1.0
-2.5526540996384313,1.0
-2.186318953991026,1.0
-1.2875165043921646,1.0
-4.0054989881365115,1.0
-0.09933864261648351,0.0
-4.973522661912384,1.0
-1.5365758327191974,1.0
-3.9842499680379646,0.0
3.976228403146549,1.0
-3.481802111213266,0.0
2.051912397968515,1.0
1.209600134149532,1.0
3.6863759561993543,1.0
-0.7506920493004086,1.0
2.7223543517259374,1.0
3.47577607850244,0.0
2.347982875400124,1.0
-3.835688449799336,1.0
-2.294756710314047,0.0
-5.388084664678197,0.0
-2.5804622695616173,1.0
-5.825823605192124,1.0
-2.945849181596061,1.0
-3.3863182264720795,1.0
5.302877003082863,1.0
1.9493689406136316,1.0
4.7848177038834745,1.0
-3.422833772512836,0.0
2.0196300685915873,1.0
-4.789290297255821,1.0
-3.1225787908962204,1.0
-2.7542017409301556,1.0
-2.1347439539077815,1.0
3.0914216505186207,1.0
-4.795990592082758,1.0
-4.998245575217604,1.0
-4.278209409956684,1.0
-4.092050333249997,0.0
-3.2722100341891887,0.0
2.443892398087218,1.0
-2.5676675061993346,1.0
-0.39525542153435855,1.0
-2.2361339405144123,1.0
-3.3962974403455943,0.0
4.671032224318577,1.0
-2.583898500732019,1.0
-2.990697211185264,1.0
-2.0414398987498465,1.0
4.806125932089195,1.0
6.748201447424043,1.0
3.7894679019779454,1.0
-3.3856079351713264,1.0
2.075202057958157,1.0
2.5151356119067643,0.0
-1.7045473165222553,1.0
-1.736027195568866,1.0
1.9544020158678408,1.0
-4.195100790939596,1.0
-2.9251161280755014,1.0
-3.9771125514851056,1.0
0.7804339915306638,1.0
-4.196207775703746,1.0
-5.963996222178753,1.0
-2.9154894476629343,1.0
-4.819217837848504,1.0
0.6434907489571391,1.0
-2.2451766695921678,1.0
-5.40333234578869,1.0
-1.8240732902348062,1.0
5.839423864447731,1.0
-3.8809808342433607,0.0
-2.9357525134036044,1.0
-3.4082253853417237,1.0
-1.9240905170665115,1.0
-6.525376664134832,1.0
-2.8982356651317174,1.0
-3.7689013057658336,1.0
-3.657351657002427,1.0
1.1054301236187065,0.0
-3.9635794062600826,1.0
-0.6575358761725973,0.0
-1.0549530169501642,1.0
-4.859357644660357,1.0
2.695967769142177,1.0
-3.789473198961394,1.0
-5.312958761372919,1.0
-3.001068757194064,1.0
1.8580197523462871,1.0
-3.3267697586820573,0.0
-4.710930827280663,1.0
-5.672662178698555,1.0
3.119279809118429,1.0
1.2334641111728715,1.0
-1.5464767859255493,1.0
