earn_x0_lc1vs0_iate,emplx1_2
23.785276655316352,1.0
-22.50828681940891,1.0
-22.60161223226305,2.0
-16.087916876895356,2.0
-6.191985696412242,1.0
-5.55282566247331,1.0
-24.4714840550198,1.0
-8.032845525292458,1.0
-2.2460782496876845,2.0
8.322979550908645,1.0
1.192432663504377,1.0
-13.57738557493525,1.0
-49.514180567731046,1.0
-20.70744351553887,1.0
-37.72558844562158,2.0
-99.34538689358874,1.0
-20.416265855803772,1.0
7.514340041979516,1.0
-23.49233229603891,2.0
-37.664103420173376,1.0
-48.69692444108341,2.0
-14.309769617743768,1.0
-12.019441379588073,1.0
-126.86582173377258,1.0
-45.529567160823206,2.0
-68.39780746469978,3.0
-1.5525405094400782,1.0
13.588847426484108,1.0
-7.978580304243792,1.0
-5.483599822904864,1.0
17.85128980560158,1.0
-90.24419529275747,1.0
-15.696515625834031,1.0
-41.47631303637668,2.0
-3.1150487975053274,2.0
12.707457374224987,1.0
-14.536315047530522,1.0
-10.539616194315492,1.0
10.082031911666897,1.0
-7.590198447384282,1.0
-17.73563185425084,2.0
-90.75435476857672,1.0
-24.80890089076523,1.0
-10.32519506318614,1.0
-131.83294644516116,1.0
26.64076422206964,1.0
-123.68731342853914,2.0
-15.306129075933768,1.0
3.5602461991421706,2.0
-65.69275096410865,2.0
-12.537893646453085,1.0
-93.49139060611333,2.0
-20.20504620042535,1.0
13.161769065211669,1.0
20.801161971978615,1.0
-26.170806086168312,1.0
-55.80212397815964,1.0
-14.946220208994504,1.0
-15.468169404355558,1.0
-16.115089949227183,3.0
-3.4481127226976582,2.0
2.284922492695955,2.0
-61.47520070744508,1.0
9.718157270027461,1.0
5.382679534768361,1.0
5.6340645027672025,1.0
10.297376289349927,1.0
27.729066760331023,1.0
-48.53576416559633,1.0
-9.195977512401004,1.0
5.270941541251489,1.0
-19.80981954578732,1.0
14.143360292550394,1.0
-12.504267510507276,1.0
-61.41003918691109,3.0
-52.198116637409385,2.0
-0.8649235917727118,1.0
-28.413040177798678,2.0
-22.98555958796487,2.0
1.7242015179188703,1.0
-74.74429398033828,2.0
-54.376647820098015,3.0
-4.953590020747555,1.0
-61.711485481445095,1.0
0.2801951965167575,1.0
-19.414149937986863,1.0
-27.017031059870988,1.0
-22.552808693825625,1.0
27.455016923528888,3.0
-16.2557340474973,2.0
21.403605764849658,1.0
-20.091961425088524,2.0
-15.575769292967337,1.0
9.337599860441458,1.0
-6.202268429730168,2.0
11.099361745927787,1.0
37.74083034651278,1.0
0.3648775138139797,1.0
-46.39992585527801,1.0
12.506241369612127,1.0
-9.732903052976342,1.0
-70.3645513387217,1.0
-6.763382272416138,2.0
-14.565062350990019,1.0
-29.343713131197433,2.0
-57.12872745414046,1.0
69.56690801278764,1.0
-17.708142374198587,1.0
-6.868591009984129,1.0
-67.26275112293143,1.0
-38.822569827374366,2.0
-15.103329320538364,1.0
-0.8695016803979456,1.0
-5.773107706194752,1.0
23.559529899794,1.0
-16.48816726120691,1.0
-20.0832931969202,1.0
-16.458844366632256,1.0
-1.2745151540619233,1.0
-147.85259185306234,1.0
-41.02599306591394,3.0
28.779819449256383,1.0
6.921717863011452,1.0
15.994012212478253,1.0
-4.599273143093605,1.0
7.196317403817005,1.0
-17.339896162069067,1.0
-27.697561869680094,1.0
-27.280515256953215,2.0
0.5362616650259042,1.0
-4.183667012685476,3.0
11.713737430877188,1.0
-37.45709157288229,1.0
-9.345823621815725,1.0
-16.305013694507693,1.0
15.587138744549865,1.0
-2.5287408206786353,1.0
-0.811557643721823,1.0
-99.23796811084867,1.0
-13.87740828076619,1.0
-27.378628216662197,1.0
-35.0647704866542,2.0
-56.66280284902416,1.0
-17.093917375254563,1.0
-12.050131334468645,1.0
-29.69682877943623,1.0
-77.12642479892651,2.0
-5.615677952437181,1.0
-1.2155391726343812,1.0
-23.26199335507863,1.0
-83.4709028257256,1.0
24.810059974442197,1.0
-5.2335831904870815,1.0
-49.86986628515069,1.0
2.531799176536424,1.0
1.2606955362351626,1.0
-2.286370434641711,1.0
-50.11028996830163,2.0
-6.67454572774335,2.0
-51.42855276980242,1.0
-36.29503865410095,1.0
-8.631873895412397,1.0
-19.241427556559927,1.0
