upper,effects,lower,ate,ate_l,ate_u
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13231.777378792009,-19958.734342715234,-26685.69130663846,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13198.444768210964,-19902.99268965264,-26607.54061109432,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13169.852133297649,-19851.11277900454,-26532.37342471143,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13123.596411006678,-19799.775982959447,-26475.955554912216,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13087.216304255551,-19749.209703824265,-26411.203103392978,-7232.653719973282,-5615.921863886087,-8849.385576060478
-13046.277396794976,-19702.12155396537,-26357.965711135766,-7232.653719973282,-5615.921863886087,-8849.385576060478
-12990.831434772826,-19654.235184602083,-26317.63893443134,-7232.653719973282,-5615.921863886087,-8849.385576060478
-12944.812105482175,-19606.209071225872,-26267.60603696957,-7232.653719973282,-5615.921863886087,-8849.385576060478
-12934.81814714447,-19560.161152797144,-26185.504158449818,-7232.653719973282,-5615.921863886087,-8849.385576060478
-12909.91225488991,-19514.34199253929,-26118.771730188666,-7232.653719973282,-5615.921863886087,-8849.385576060478
-12868.480283106583,-19468.21251213277,-26067.944741158957,-7232.653719973282,-5615.921863886087,-8849.385576060478
-12843.731073922376,-19422.877251715243,-26002.02342950811,-7232.653719973282,-5615.921863886087,-8849.385576060478
-12805.7076775327,-19377.015366302203,-25948.323055071705,-7232.653719973282,-5615.921863886087,-8849.385576060478
-12765.018438973864,-19331.346190885648,-25897.67394279743,-7232.653719973282,-5615.921863886087,-8849.385576060478
-12747.800984755615,-19287.165827155335,-25826.530669555053,-7232.653719973282,-5615.921863886087,-8849.385576060478
-12713.92450494867,-19245.20032580619,-25776.476146663706,-7232.653719973282,-5615.921863886087,-8849.385576060478
-12689.976325404952,-19203.40944553159,-25716.842565658226,-7232.653719973282,-5615.921863886087,-8849.385576060478
-12652.321809601974,-19161.941906567394,-25671.562003532814,-7232.653719973282,-5615.921863886087,-8849.385576060478
-12624.434140621386,-19120.017762923293,-25615.6013852252,-7232.653719973282,-5615.921863886087,-8849.385576060478
-12583.009133418762,-19078.749937017008,-25574.490740615256,-7232.653719973282,-5615.921863886087,-8849.385576060478
-12542.876506981505,-19037.469680182556,-25532.062853383606,-7232.653719973282,-5615.921863886087,-8849.385576060478
-12500.08408415405,-18996.330899032007,-25492.577713909966,-7232.653719973282,-5615.921863886087,-8849.385576060478
-12451.89784850984,-18955.66367474838,-25459.429500986917,-7232.653719973282,-5615.921863886087,-8849.385576060478
-12399.18347909562,-18915.017883306005,-25430.85228751639,-7232.653719973282,-5615.921863886087,-8849.385576060478
-12383.687004564925,-18874.285920223963,-25364.884835883,-7232.653719973282,-5615.921863886087,-8849.385576060478
-12349.0793534461,-18833.30923489566,-25317.53911634522,-7232.653719973282,-5615.921863886087,-8849.385576060478
-12336.910839559963,-18792.286877921157,-25247.662916282352,-7232.653719973282,-5615.921863886087,-8849.385576060478
-12312.110277245622,-18751.218906916314,-25190.327536587007,-7232.653719973282,-5615.921863886087,-8849.385576060478
-12295.565454915337,-18709.95943749908,-25124.353420082825,-7232.653719973282,-5615.921863886087,-8849.385576060478
