sal_4_lc2vs0_iate,emplx1_2
-28535.172231885124,1.0
-40917.13740829805,1.0
-44591.06653815474,2.0
-37923.12325229703,2.0
-51122.46640613159,1.0
-31548.459746523833,1.0
-35663.34597895253,1.0
-41972.841910345756,1.0
-31427.02869072528,2.0
-47156.29780902894,1.0
-54747.63659342423,1.0
-55038.99336016357,1.0
-54676.77358550341,1.0
-41367.01032443426,1.0
-34213.711539315605,2.0
-61488.227276058344,1.0
-29835.02617894834,1.0
-52789.09592102513,1.0
-34254.52893452231,2.0
-57814.8754599909,1.0
-54910.79622200837,2.0
-31963.198333931934,1.0
-37411.57875055263,1.0
-57925.49012985357,1.0
-54445.00756092029,2.0
-56474.119908445515,3.0
-49035.35483489944,1.0
-30829.68078277779,1.0
-29248.390981247157,1.0
-56089.87328850374,1.0
-40173.428617818194,1.0
-56430.909560445056,1.0
-40281.273832859704,1.0
-47538.301047931134,2.0
-37994.677269861175,2.0
-44579.277984644206,1.0
-47370.979613199976,1.0
-49756.54464235258,1.0
-40560.257978838854,1.0
-46776.61427297699,1.0
-35096.53042632254,2.0
-58279.07053511053,1.0
-41475.553856966886,1.0
-51821.782680530145,1.0
-63527.46621359195,1.0
-47050.90368055856,1.0
-62965.798903149,2.0
-35743.08555459799,1.0
-27933.039364145487,2.0
-55568.480484376945,2.0
-29626.25440066765,1.0
-61826.126812041504,2.0
-36678.13369771808,1.0
-51612.365846686036,1.0
-41050.47917236137,1.0
-38133.06453706531,1.0
-58446.575793066884,1.0
-36131.054846936604,1.0
-41079.624503326355,1.0
-46824.461613743304,3.0
-35125.53409752616,2.0
-30016.070425212947,2.0
-60934.601831358275,1.0
-32243.323666887605,1.0
-36876.48912131248,1.0
-51599.339548852164,1.0
-29916.0921989967,1.0
-31970.347724299627,1.0
-32521.265106282655,1.0
-38920.67581527282,1.0
-33593.0367967478,1.0
-57369.13056636481,1.0
-51254.08875562181,1.0
-33874.16264491021,1.0
-54466.702262307095,3.0
-54601.568892919655,2.0
-40427.252974417665,1.0
-33988.67115430745,2.0
-32363.92825775478,2.0
-53189.278347801366,1.0
-57505.9649915076,2.0
-55961.07438819202,3.0
-36353.19063530809,1.0
-55594.107470133655,1.0
-38160.66499509002,1.0
-39092.374468980226,1.0
-28534.603771417736,1.0
-60926.40695925029,1.0
-30738.42412338712,3.0
-48997.06673777303,2.0
-40713.32395594462,1.0
-37210.78627016464,2.0
-52433.29962782524,1.0
-29320.038910881693,1.0
-51791.5460728734,2.0
-50230.975775071565,1.0
-42693.88824078468,1.0
-38615.83513788745,1.0
-30022.80094862466,1.0
-42956.62765621567,1.0
-52069.05993804087,1.0
-56333.08041192282,1.0
-50973.19001020843,2.0
-34403.00363538356,1.0
-30147.256336978742,2.0
-55105.99917987408,1.0
-44740.03760529991,1.0
-44405.796231023225,1.0
-34495.09343315278,1.0
-60510.80691041208,1.0
-37244.63297004259,2.0
-50608.64811265613,1.0
-31278.50302803552,1.0
-42846.378521179475,1.0
-49900.26956038434,1.0
-30605.389100503493,1.0
-42267.64861220922,1.0
-38293.84723407638,1.0
-39567.00256931692,1.0
-59132.953086621885,1.0
-47652.302453896904,3.0
-52737.90910842185,1.0
-54539.748600258696,1.0
-39592.86305086875,1.0
-36679.84396837143,1.0
-41479.18819514195,1.0
-62363.97154500743,1.0
-38963.50305885414,1.0
-51307.31477944532,2.0
-41741.937320104815,1.0
-32127.69152689042,3.0
-42862.798725876455,1.0
-53523.43898259451,1.0
-33155.63837534923,1.0
-31502.31663553739,1.0
-43116.268793757656,1.0
-51894.69658671366,1.0
-54066.25659779493,1.0
-66169.62615278058,1.0
-30571.587325682936,1.0
-50221.05911029658,1.0
-28886.299628872915,2.0
-60593.5275250746,1.0
-40460.13686175663,1.0
-52726.84573317277,1.0
-50187.986304867234,1.0
-59895.47052639881,2.0
-31738.523201671156,1.0
-41094.45103142685,1.0
-32118.25124426702,1.0
-59085.26770958086,1.0
-30956.04418235428,1.0
-34100.03941729771,1.0
-64887.58002938191,1.0
-30960.380689244383,1.0
-38485.33502545621,1.0
-39573.032669027736,1.0
-45288.03513481606,2.0
-32232.355950032194,2.0
-36328.99415484973,1.0
-60482.99602936611,1.0
-51486.07576989959,1.0
-30331.52966882947,1.0
-54369.75193280236,1.0
-40118.62707780929,2.0
-57523.83718289361,1.0
-41848.92973092002,1.0
-59711.87582219261,1.0
-49893.99182852618,2.0
-42797.16262538865,1.0
-52060.89388195357,2.0
-33710.85623278428,2.0
-59816.85404447255,1.0
-53757.32936499022,1.0
-41816.05622310469,1.0
-35816.87992944504,1.0
-39266.79251192016,1.0
-49297.21476884415,1.0
-33641.50217870868,1.0
-55827.31762543899,1.0
-28605.831991951694,2.0
-40710.180563701055,1.0
-41110.2597004748,1.0
-30012.819068776967,1.0
-30276.391073048435,1.0
-61483.686583960836,2.0
-42760.02570570512,2.0
-31309.14173601236,1.0
-59549.15731334065,1.0
-60118.35862073146,1.0
-58876.76906393777,2.0
-53988.98561552647,1.0
-47223.12817707671,1.0
-36485.41602627236,2.0
-40646.42647417623,1.0
-59990.14643566707,1.0
-33869.784972077636,1.0
-35627.261242961875,1.0
-50811.54223499363,2.0
-29070.073781446234,1.0
-35622.94630124509,1.0
-58950.81596646356,1.0
-38086.13955222813,1.0
-28425.532809097658,1.0
-34706.59910768832,1.0
-44869.062670988205,1.0
-37210.386381923934,1.0
-36587.99859285549,2.0
-41361.31359069426,1.0
-34288.630532931005,2.0
-45679.355916130495,1.0
-41851.02808862491,1.0
-59658.88013916985,1.0
-45152.72716114298,1.0
-52063.3899929525,1.0
-51331.60963144906,1.0
-55181.45432125154,1.0
-52864.65167117927,2.0
-56091.993109613584,2.0
-51835.59054714459,1.0
-28235.960698799245,1.0
-50987.21153247397,3.0
-34975.40352107449,1.0
-32478.12386220656,1.0
-49798.300409143194,1.0
-42710.22468257176,1.0
-31294.40648494302,1.0
-46434.48020741414,1.0
-40413.84751722927,1.0
-36942.14067456237,1.0
-41363.2227326766,1.0
-42536.79634076993,1.0
-50409.60418314176,1.0
-45183.105572911736,1.0
-29132.814913842572,1.0
-57990.8356464785,1.0
-51624.70993922517,1.0
-39937.58946447844,1.0
-53232.498875165635,1.0
-39261.42256739462,1.0
-63150.16858501913,3.0
-55834.077908552936,1.0
-57874.15158136293,1.0
-37214.22383429842,1.0
-43517.02713668889,1.0
-41698.53357755949,1.0
-50335.13241280692,2.0
-55071.67319994114,1.0
-31585.73884020841,1.0
-66421.01963403425,1.0
-29634.11538641225,1.0
-44568.68537159426,1.0
-37055.35915852231,2.0
-59756.36272764155,1.0
-49473.346040696895,1.0
-59766.21276749651,1.0
-55948.314250993855,1.0
-30002.97379113662,2.0
-61911.70429718903,1.0
-50933.40689802842,1.0
-57946.632170094366,1.0
-57509.82221693675,1.0
-52507.563013300765,1.0
-49035.54197742554,1.0
-55723.4553019367,1.0
-53300.26926503271,1.0
-45096.297017909696,1.0
-33708.98897800076,1.0
-28688.51183208021,1.0
-40887.94732272587,1.0
-60919.67033478833,1.0
-37089.70601456078,1.0
-39754.83840451921,1.0
-56333.811017564105,1.0
-31425.5630676901,1.0
-38561.77565239917,2.0
-46484.80524746062,1.0
-30496.6794022759,1.0
-54295.448122589805,1.0
-39243.204952692424,1.0
-41912.40075051287,1.0
-39578.63390694774,1.0
-34542.50138378643,1.0
-36098.47568701264,2.0
-54083.13725661805,1.0
-48437.00932009843,1.0
-52594.97066535624,3.0
-34118.9047829395,1.0
-38115.68375394152,2.0
-39836.952638789044,1.0
-53617.0298572395,2.0
-35244.05384292837,1.0
-59035.94976436113,1.0
-36787.852733326756,1.0
-37143.222089195624,1.0
-42928.82016891398,1.0
-29752.821338650567,2.0
-51327.93634802129,2.0
-28810.37134689627,1.0
-43047.706448491495,3.0
-32030.400174812257,1.0
-40670.613201389,1.0
-40899.498279430656,1.0
-60394.500516387445,1.0
-41369.79787205122,1.0
-35911.248042547,1.0
-35322.95214743943,1.0
-56050.76600575438,1.0
-40805.93838859428,3.0
-48341.07457495758,1.0
-36179.22730856229,1.0
-29059.059687249868,1.0
-60095.42245000137,1.0
-39100.15430451167,1.0
-35657.137009334925,1.0
-62146.74502085656,1.0
-55952.34349971493,1.0
-29751.50108781859,2.0
-58744.40953537137,1.0
-38738.931012872694,1.0
-52580.86217211095,2.0
-28879.049845184825,1.0
-59043.75172870707,2.0
-30116.762767217246,1.0
-43853.57175281983,2.0
-43708.92196592066,1.0
-38616.77145159988,1.0
-30853.173260118077,1.0
-40478.7205219018,1.0
-33782.40756190102,1.0
-28630.13626033401,2.0
-48209.89870082562,2.0
-60120.692053628925,2.0
-52853.67406294876,2.0
-42608.548460627295,3.0
-40132.15396453895,1.0
-33260.76639463841,1.0
-37111.684888297874,1.0
-29273.62925186026,1.0
-55667.51416082788,1.0
-38332.422265876434,1.0
-35681.313923131,2.0
-53287.885888467856,1.0
-57475.77139868676,1.0
-57015.52803808499,3.0
-49055.349933538775,1.0
-41385.69875800921,1.0
-53772.62222248055,1.0
-36820.07464685822,1.0
-40940.79612836364,1.0
-55960.07578136187,1.0
-32683.239722810562,1.0
-27948.76085311513,1.0
-53070.61288267889,1.0
-34309.63540569359,2.0
-41181.72661141936,1.0
-32950.63555006507,1.0
-40245.138895303164,2.0
-31192.418132771832,2.0
